"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ERA-6AEB102V","Panasonic Electronic Components","P1.0KDACT-ND","R8,R14,R16,R20","","Cut Tape (CT)","Active","5","0.33000","$1.65","116316","13 Weeks","RES 1K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-6ENF1874V","Panasonic Electronic Components","P1.87BTCT-ND","R1,R3","","Cut Tape (CT)","Active","2","0.10000","$0.20","8428","11 Weeks","RES SMD 1.87M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB104V","Panasonic Electronic Components","P100KDACT-ND","R7,R17","","Cut Tape (CT)","Active","2","0.33000","$0.66","113947","13 Weeks","RES 100K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB153V","Panasonic Electronic Components","P15KDACT-ND","THERM","","Cut Tape (CT)","Active","1","0.33000","$0.33","71459","13 Weeks","RES 15K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PB6B2003V","Panasonic Electronic Components","P20854CT-ND","R4,R13","","Cut Tape (CT)","Active","2","0.35000","$0.70","121","13 Weeks","RES SMD 200K OHM 0.1% 1/4W 0805","ROHS3 Compliant","Lead free","Not Available"
"ERA-6AEB274V","Panasonic Electronic Components","P270KDACT-ND","R6","","Cut Tape (CT)","Active","1","0.33000","$0.33","18848","13 Weeks","RES 270K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB3403V","Panasonic Electronic Components","P340KDACT-ND","R2","","Cut Tape (CT)","Active","1","0.33000","$0.33","12228","13 Weeks","RES 340K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1210C107M8PACTU","KEMET","399-11631-1-ND","C6","","Cut Tape (CT)","Active","1","1.58000","$1.58","36692","8 Weeks","CAP CER 100UF 10V X5R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C225M8RACTU","KEMET","399-9208-1-ND","C2","","Cut Tape (CT)","Active","1","0.30000","$0.30","14731","28 Weeks","CAP CER 2.2UF 10V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"VLS5045EX-6R8M","TDK Corporation","445-174855-1-ND","L1","","Cut Tape (CT)","Active","1","0.45000","$0.45","4874","12 Weeks","FIXED IND 6.8UH 2.9A 59.8 MOHM","ROHS3 Compliant","Lead free","REACH Unaffected"
